,Ingredient,Price,,,,,,,,
2% Milk,2% Milk,$2.69 ,,,,,,,,
Avocado,Avocado,$1.18 ,,,,,,,,
Baby Spinach,Baby Spinach,$2.29 ,,,,,,,,
Baking Powder,Baking Powder,$2.69 ,,,,,,,,
Baking Soda,Baking Soda,$1.59 ,,,,,,,,
Beef Broth,beef broth,$1.79 ,,,,,,,,
Bell Peppers,Bell Peppers,$2.69 ,,,,,,,,
Black Beans,Black beans,$1.59 ,,,,,,,,
Blueberries,Butter,$3.49 ,,,,,,,,
Butter,Buttermilk,$2.69 ,,,,,,,,
Buttermilk,Caesar Salad Dressing,$3.69 ,,,,,,,,
Caesar Salad Dressing,Cherry Tomatoes,$2.49 ,,,,,,,,
Cherry Tomatoes,Chia Seeds,$7.99 ,,,,,,,,
Chia Seeds,Chicken breast,$12.77 ,,,,,,,,
Chicken Breast,Croutons,$2.29 ,,,,,,,,
Croutons,Crushed Tomatoes,$3.79 ,,,,,,,,
Crushed Tomatoes,cucumber ,$0.99 ,,,,,,,,
Cucumber,Diced tomatos,$3.79 ,,,,,,,,
Diced Tomatoes,Dijon Mustard,$1.99 ,,,,,,,,
Dijon Mustard,Eggs,$2.99 ,,,,,,,,
Eggs,Feta Block,$5.29 ,,,,,,,,
Feta Block,Fritos,$4.69 ,,,,,,,,
Fritos,Greek yogurt,$5.99 ,,,,,,,,
Greek Yogurt,Ground Beef,$7.99 ,,,,,,,,
Ground Beef,Honey,$4.79 ,,,,,,,,
Honey,Italian Bread Crumbs,$2.79 ,,,,,,,,
Italian Bread Crumbs,Kindey beans,$1.49 ,,,,,,,,
Kidney Beans,Large Tortilla,$4.69 ,,,,,,,,
Large Tortilla,Mayonaisse,$4.29 ,,,,,,,,
Mayonaisse,Minced garlic,$3.79 ,,,,,,,,
Minced Garlic,Old fashioned oats,$4.89 ,,,,,,,,
Old Fashioned Oats,Olive oil  ,$6.39 ,,,,,,,,
Olive Oil,Oregano,$1.19 ,,,,,,,,
Oregano,Paprika,$1.19 ,,,,,,,,
Paprika,Pasta ,$0.99 ,,,,,,,,
Pasta,red onion,$0.89 ,,,,,,,,
Red Onion,red pepper flakes,$1.19 ,,,,,,,,
Red Pepper Flakes,Romaine Lettuce,$2.99 ,,,,,,,,
Regular Tortilla,Salt,$2.19 ,,,,,,,,
Romaine Lettuce,Salt/Pepper,$2.19 ,,,,,,,,
Salt,Shredded cheddar cheese,$1.99 ,,,,,,,,
Salt/Pepper,Shredded Mexican Style Cheese,$1.99 ,,,,,,,,
Shredded Cheddar Cheese,Shredded Parmesan Cheese,$1.99 ,,,,,,,,
Shredded Mexican Style Cheese,Sliced Provalone,$1.69 ,,,,,,,,
Shredded Parmesan Cheese,Sour cream,$1.99 ,,,,,,,,
Sliced Provalone,Sourdough Bread,$4.19 ,,,,,,,,
Sour Cream,sprouts,N/A,,,,,,,,
Sourdough Bread,Blueberries,$3.49 ,,,,,,,,
Sprouts,Sweet corn,$0.99 ,,,,,,,,
Sweet Corn,Taco seasoning,$0.99 ,,,,,,,,
Taco Seasoning,Tomato,$3.19 ,,,,,,,,
Tomato,Tortilla,$4.69 ,,,,,,,,
Vegetable Oil,Vegetable Oil,$2.79 ,,,,,,,,
White Onion,White Onion,$0.89 ,,,,,,,,
White Rice,White Rice,$1.89 ,,,,,,,,
White Sugar,White Sugar,$3.19 ,,,,,,,,
Whole Wheat Flour,Whole Wheat Flour,$2.49 ,,,,,,,,
Yellow Onion,Yellow Onion,$0.89 ,,,,,,,,
